code;name;side;city;type;x;y
001_A;001_ул Воткинское шоссе, напротив д.8 / Славянское шоссе;А1, А2, А3;Ижевск;Призматрон;56.885589;53.228125
001_B;001_ул Воткинское шоссе, напротив д.8 / Славянское шоссе;Б;Ижевск;Билборд;56.885589;53.228125
001_V;001_Видеоэкран_Перекресток ул. Удмуртская и ул. 10 лет Октября;A;Ижевск;Видеоэкран;56.872135154284;53.222434359239
002_A;002_ул Автозаводская, д.3А, площадь у ТРЦ «Столица»;А;Ижевск;Билборд;56.873295;53.275814
002_V;002_Видеоэкран ул.Пушкинская - Центр. Площадь;A;Ижевск;Видеоэкран;56.853386921923;53.210877920197
003_A;"003_ул Пушкинская, 128, напротив ""Сбербанка""";А;Ижевск;Билборд;56.835346;53.217401
003_B;"003_ул Пушкинская, 128, напротив ""Сбербанка""";Б;Ижевск;Билборд;56.835346;53.217401
004_A;004_ул Воткинское шоссе, 140;А;Ижевск;Билборд;56.890601;53.258404
004_B;004_ул Воткинское шоссе, 140;Б;Ижевск;Билборд;56.890601;53.258404
005_A;005_ул Удмуртская, 249B;А;Ижевск;Билборд;56.856574;53.222003
005_B;005_ул Удмуртская, 249B;Б;Ижевск;Билборд;56.856574;53.222003
006_A;006_ул Чугуевского/Жечева, напротив ул Пушкинская, 65;А;Ижевск;Билборд;56.832288;53.214613
006_B;006_ул Чугуевского/Жечева, напротив ул Пушкинская, 65;Б;Ижевск;Билборд;56.832288;53.214613
007_A;007_ул Орджоникидзе, 21 / ул. Промышленная;А;Ижевск;Билборд;56.836288;53.247966
007_B;007_ул Орджоникидзе, 21 / ул. Промышленная;Б;Ижевск;Билборд;56.836288;53.247966
008_A1;008_ул 10 лет Октября, 55Б (Армянская апостольская церковь);А1;Ижевск;Билборд;56.871926;53.231464
008_A2;008_ул 10 лет Октября, 55Б (Армянская апостольская церковь);А2;Ижевск;Билборд;56.871926;53.231464
009_A;009_ул К. Маркса, 302 пересечение с ул. Кирова, призматрон;А1, А2, А3;Ижевск;Призматрон;56.860312;53.202634
009_A4;009_ул К. Маркса, 302 пересечение с ул. Кирова;А4;Ижевск;Билборд;56.860312;53.202634
009_AA;009_ул К. Маркса, 302 пересечение с ул. Кирова, цифровой билборд;АА;Ижевск;Цифровой билборд;56.860312;53.202634
